,City,Lat,Lon,Temp,Humidity,Wind Speed,Cloud,Country,Date Time
286,Haines Junction,60.7522,-137.5108,31.95,86,2.3,100,CA,1634928664
287,Tilichiki,60.4667,166.1,0.48,96,7.72,48,RU,1634928664
288,Ambovombe,-25.1667,46.0833,67.1,73,13.42,100,MG,1634928663
289,Champerico,14.3,-91.9167,90.14,72,5.28,39,GT,1634928665
290,Lüderitz,-26.6481,15.1594,57.04,89,7.43,0,NA,1634928665
291,Severo-Kuril'sk,50.6789,156.125,37.22,80,10.31,98,RU,1634928666
292,Hirado,33.3597,129.5531,58.35,67,23.0,72,JP,1634928666
293,Isangel,-19.55,169.2667,69.91,94,2.3,13,VU,1634928667
294,Katsuura,35.1333,140.3,55.51,83,14.29,48,JP,1634928667
295,Souillac,-20.5167,57.5167,75.36,83,6.91,75,MU,1634928668
296,Arandis,-22.4167,14.9667,55.47,75,4.07,0,NA,1634928668
297,Tadine,-21.55,167.8833,72.79,87,1.1,2,NC,1634928669
298,Union City,37.5958,-122.0192,64.56,85,5.01,40,US,1634928531
299,Jagdalpur,19.0667,82.0333,67.42,80,2.8,3,IN,1634928669
300,Lakatoro,-16.0999,167.4164,78.39,85,4.7,69,VU,1634928670
301,Necochea,-38.5473,-58.7368,57.04,79,8.75,100,AR,1634928670
302,Laguna,38.421,-121.4238,66.11,86,1.01,90,US,1634928671
303,Bethel,41.3712,-73.414,70.81,62,10.36,40,US,1634928671
304,Sovetskiy,61.3614,63.5842,35.22,98,9.66,100,RU,1634928672
305,Daloa,6.8774,-6.4502,74.03,95,3.47,25,CI,1634928673
306,Port Augusta,-32.5,137.7667,55.71,84,12.8,20,AU,1634928673
307,Jiangyou,31.7667,104.7167,54.46,89,1.45,100,CN,1634928673
308,Qarqīn,37.4185,66.0436,47.28,28,1.95,80,AF,1634928674
309,Luena,-11.7833,19.9167,65.14,90,2.24,100,AO,1634928674
310,Howard Springs,-12.497,131.047,84.11,95,4.59,13,AU,1634928675
311,Amuntai,-2.4177,115.2494,74.23,98,0.69,100,ID,1634928676
312,Sur,22.5667,59.5289,82.08,65,6.67,5,OM,1634928676
313,Oranjestad,12.524,-70.027,82.35,89,16.11,40,AW,1634928676
314,Arzgir,45.3728,44.2206,56.68,38,6.87,0,RU,1634928677
315,Teya,60.3778,92.6267,38.21,73,13.65,100,RU,1634928677
316,Panama City,8.9936,-79.5197,87.75,72,3.44,40,PA,1634928435
317,Safi,32.2994,-9.2372,66.31,68,19.77,0,MA,1634928678
318,Aklavik,68.2191,-135.0107,36.43,87,14.7,100,CA,1634928679
319,Summerville,33.0185,-80.1757,83.89,68,5.01,90,US,1634928520
320,Priiskovyy,51.9333,116.6333,28.36,89,4.83,5,RU,1634928679
321,Vostochnyy,55.8167,37.8667,46.11,61,15.3,60,RU,1634928680
322,Kaeo,-35.1,173.7833,59.32,97,19.3,100,NZ,1634928680
323,Vasto,42.1243,14.7059,59.45,75,3.74,43,IT,1634928681
324,Porbandar,21.6422,69.6093,79.25,64,11.32,12,IN,1634928681
325,Port Washington,40.8257,-73.6982,71.91,55,1.01,64,US,1634928682
326,Kosh-Agach,50.0,88.6667,30.96,59,0.92,100,RU,1634928682
327,Okha,53.5739,142.9478,34.2,85,14.67,100,RU,1634928683
328,Ishigaki,24.3448,124.1572,76.14,64,23.96,100,JP,1634928683
329,Loughton,52.0304,-0.7864,51.8,84,6.4,7,GB,1634928684
330,Ojinaga,29.5667,-104.4167,88.57,39,6.91,1,MX,1634928684
331,Chimbote,-9.0853,-78.5783,69.33,75,11.05,19,PE,1634928685
332,Guilin,25.2819,110.2864,55.51,84,4.83,100,CN,1634928424
333,Tendūkheda,23.4,79.55,68.5,58,4.72,0,IN,1634928685
334,Taganak,6.0833,118.3,75.34,79,13.2,100,PH,1634928686
335,Camopi,3.1655,-52.3158,86.0,62,6.13,78,GF,1634928686
336,Warrnambool,-38.3833,142.4833,53.82,88,9.93,100,AU,1634928687
337,Pringsewu,-5.3582,104.9744,73.4,96,2.84,100,ID,1634928687
338,Beloha,-25.1667,45.05,65.97,75,11.86,100,MG,1634928688
339,Sobolevo,54.4299,31.8996,43.36,67,14.81,95,RU,1634928689
340,Pacific Grove,36.6177,-121.9166,62.76,90,1.99,90,US,1634928689
341,Montrose,38.4166,-108.2673,58.37,18,4.79,79,US,1634928690
342,Tura,25.5198,90.2201,65.34,78,3.74,1,IN,1634928690
343,Żnin,52.8496,17.7199,45.34,80,18.59,98,PL,1634928438
344,Peniche,39.3558,-9.3811,64.96,80,17.07,0,PT,1634928691
345,Talnakh,69.4865,88.3972,16.84,94,3.96,100,RU,1634928691
346,Dubrovnik,42.6481,18.0922,65.84,82,11.5,40,HR,1634928691
347,Namatanai,-3.6667,152.4333,77.56,80,5.77,98,PG,1634928692
348,Xinzhi,36.4989,111.7047,48.97,67,3.42,8,CN,1634928692
349,Hamilton,39.1834,-84.5333,54.99,89,5.75,90,US,1634928693
350,Alakurtti,66.9672,30.3491,27.63,80,13.29,100,RU,1634928694
351,São Filipe,14.8961,-24.4956,82.81,60,8.32,0,CV,1634928694
352,Kumul,42.8,93.45,55.83,22,4.03,0,CN,1634928695
353,Bathsheba,13.2167,-59.5167,86.61,66,23.02,40,BB,1634928695
354,Tombouctou,20.0,-3.0,83.19,19,7.16,0,ML,1634928696
355,Mindelo,16.8901,-24.9804,85.55,45,20.71,4,CV,1634928696
356,Jarosław,50.0162,22.6778,48.92,57,12.57,19,PL,1634928533
357,Arlit,18.7369,7.3853,90.77,13,2.77,43,NE,1634928697
358,Guarapari,-20.6667,-40.4975,73.29,80,4.16,66,BR,1634928678
359,Kuril'sk,45.2333,147.8833,40.87,76,5.82,98,RU,1634928698
360,Edgewater,28.9889,-80.9023,91.29,61,9.22,40,US,1634928420
361,Kasungu,-13.0333,33.4833,72.73,47,5.59,16,MW,1634928698
362,Province of Brindisi,40.5833,17.6667,65.44,90,8.86,100,IT,1634928699
363,Tulun,54.5611,100.5792,32.58,74,3.78,17,RU,1634928699
364,Praia,14.9215,-23.5087,86.54,58,16.11,0,CV,1634928700
365,Smolenskaya,44.7887,38.8018,55.76,92,6.58,0,RU,1634928700
366,Marovoay,-16.1,46.6333,78.94,67,6.96,35,MG,1634928701
367,Orzhytsya,49.7918,32.7012,52.12,55,3.8,50,UA,1634928701
368,Tres Picos,15.8667,-93.5333,84.43,75,5.68,59,MX,1634928702
369,Mehamn,71.0357,27.8492,33.71,65,14.85,100,NO,1634928702
370,Thinadhoo,0.5333,72.9333,83.01,69,9.13,45,MV,1634928703
371,Glendive,47.1053,-104.7125,56.03,61,0.0,1,US,1634928703
372,Portland,45.5234,-122.6762,55.81,93,1.99,90,US,1634928289
373,Oistins,13.0667,-59.5333,86.09,66,23.02,40,BB,1634928523
374,Klaksvík,62.2266,-6.589,41.92,64,10.51,44,FO,1634928704
375,Victor Harbor,-35.5667,138.6167,55.49,93,11.32,12,AU,1634928704
376,Garsten,47.9987,14.4035,47.1,82,11.43,6,AT,1634928705
377,Huarmey,-10.0681,-78.1522,70.43,73,11.97,17,PE,1634928705
378,Makakilo City,21.3469,-158.0858,79.12,68,3.44,1,US,1634928706
379,Saint-Raphaël,19.4333,-72.2,86.11,52,2.68,56,HT,1634928706
380,Padang,-0.9492,100.3543,77.31,88,3.85,98,ID,1634928707
381,Pemangkat,1.1667,108.9667,76.33,88,3.78,100,ID,1634928707
382,Virginia Beach,36.8529,-75.978,75.24,82,5.75,90,US,1634928297
383,Shizunai-furukawachō,42.3339,142.3669,44.02,83,7.31,67,JP,1634928708
384,Aykhal,66.0,111.5,29.46,83,13.96,100,RU,1634928708
385,Koslan,63.4564,48.8989,39.92,81,13.62,100,RU,1634928709
386,Saint George,37.1041,-113.5841,79.27,30,1.01,100,US,1634928709
387,San Ramon,37.7799,-121.978,63.61,85,1.99,90,US,1634928709
388,Torres,-29.3353,-49.7269,70.36,65,5.55,0,BR,1634928711
389,Kavaratti,10.5669,72.642,81.79,77,3.29,23,IN,1634928711
390,Buriti Bravo,-5.8372,-43.8336,86.22,60,2.62,100,BR,1634928712
391,Srandakan,-7.9386,110.2506,60.73,88,5.28,100,ID,1634928712
392,Agadir,30.4202,-9.5982,68.45,77,5.28,0,MA,1634928712
393,Dikson,73.5069,80.5464,16.0,83,14.27,100,RU,1634928713
394,Zhalantun,48.0,122.7167,36.0,59,4.34,0,CN,1634928713
395,Port-de-Bouc,43.4,4.9833,59.22,37,27.63,0,FR,1634928714
396,Nuevo Progreso,23.1667,-97.95,90.59,53,5.01,22,MX,1634928714
397,Santiago de Cao,-7.9589,-79.2392,62.73,82,12.66,75,PE,1634928714
398,Timmins,48.4669,-81.3331,37.22,70,4.61,90,CA,1634928715
399,Polohy,47.4844,36.2536,56.08,65,9.66,100,UA,1634928637
400,Oparino,59.8518,48.2783,42.89,85,9.13,40,RU,1634928716
401,Gigmoto,13.7796,124.39,79.75,86,8.84,85,PH,1634928716
402,Oussouye,12.485,-16.5469,91.58,72,10.83,6,SN,1634928717
403,Mount Gambier,-37.8333,140.7667,51.71,87,6.91,90,AU,1634928717
404,La Ronge,55.1001,-105.2842,34.05,69,10.36,75,CA,1634928689
405,Torbay,47.6666,-52.7314,54.39,70,14.97,75,CA,1634928641
406,San Jerónimo,-11.9472,-75.2829,70.0,30,7.27,86,PE,1634928718
407,Steinbach am Taunus,50.1667,8.5667,50.92,68,16.11,40,DE,1634928560
408,Balsas,-7.5325,-46.0356,79.52,75,5.95,100,BR,1634928719
409,Hailar,49.2,119.7,31.46,67,7.61,6,CN,1634928719
410,Batagay,67.6333,134.6333,7.43,98,0.94,95,RU,1634928719
411,Kenai,60.5544,-151.2583,39.15,93,6.91,90,US,1634928720
412,Richmond,37.5538,-77.4603,72.39,68,3.0,90,US,1634928564
413,Abū Zabad,12.35,29.25,88.41,34,4.25,100,SD,1634928721
414,Solnechnyy,50.7214,136.6319,27.1,84,3.29,62,RU,1634928721
415,Vila Franca do Campo,37.7167,-25.4333,70.21,73,4.74,58,PT,1634928619
416,Kotel'nich,58.3089,48.348,48.29,80,15.7,84,RU,1634928722
417,Kul'dur,49.2167,131.6333,30.88,88,4.9,21,RU,1634928722
418,Paamiut,61.994,-49.6678,35.51,70,13.8,66,GL,1634928723
419,Ust-Nera,64.5667,143.2,5.88,98,3.0,96,RU,1634928716
420,Takoradze,4.8845,-1.7554,77.11,89,9.95,100,GH,1634928723
421,Agua Buena,7.8167,-80.4,85.14,99,4.76,91,PA,1634928724
422,Ferme-Neuve,46.7001,-75.4493,40.78,53,7.74,10,CA,1634928724
423,Lake Havasu City,34.4839,-114.3224,83.1,21,1.01,1,US,1634928696
424,Krasnosel'kup,65.7,82.4667,33.21,99,18.43,100,RU,1634928726
425,San Quintín,30.4833,-115.95,69.1,68,16.26,0,MX,1634928727
426,Hasaki,35.7333,140.8333,50.4,63,19.55,34,JP,1634928727
427,Hualmay,-11.0964,-77.6139,69.37,70,12.37,13,PE,1634928728
428,Nueve de Julio,-35.4444,-60.8831,57.7,92,9.15,100,AR,1634928728
429,Christchurch,-43.5333,172.6333,53.01,74,1.99,40,NZ,1634928578
430,San Patricio,28.017,-97.5169,88.05,48,5.35,99,US,1634928729
431,Kaa-Khem,51.6833,94.7333,34.18,45,3.47,48,RU,1634928729
432,Rocha,-34.4833,-54.3333,71.44,60,7.72,96,UY,1634928730
433,Luwuk,-0.9516,122.7875,77.0,83,4.03,37,ID,1634928731
434,Pochutla,15.7432,-96.4661,77.05,89,7.43,100,MX,1634928731
435,Kutum,14.2,24.6667,80.06,22,11.97,30,SD,1634928732
436,Brownwood,31.7093,-98.9912,83.21,51,3.44,20,US,1634928570
437,Vostok,46.4856,135.8833,23.95,89,4.21,5,RU,1634928732
438,Ahmadpur,18.7,76.9333,69.08,66,5.57,1,IN,1634928733
439,Medicine Hat,50.0501,-110.6683,66.72,37,1.01,90,CA,1634928481
440,Hatillo,18.4863,-66.8254,89.92,63,10.0,20,PR,1634928733
441,Yulara,-25.2406,130.9889,71.44,33,14.97,0,AU,1634928734
442,Neftegorsk,52.802,51.166,52.77,73,18.32,100,RU,1634928734
443,Half Moon Bay,37.4636,-122.4286,63.81,84,1.01,90,US,1634928734
444,Nelson Bay,-32.7167,152.15,62.01,95,4.97,12,AU,1634928655
445,Ayan,56.45,138.1667,39.42,71,7.27,100,RU,1634928735
446,Isabela,6.7085,121.9711,78.85,89,4.81,100,PH,1634928736
447,Urusha,54.05,122.9,30.25,87,2.44,9,RU,1634928736
448,Kahului,20.8947,-156.47,80.96,72,14.97,20,US,1634928670
449,Sinnai,39.3042,9.2036,68.52,65,3.44,0,IT,1634928737
450,Gravenhurst,44.9168,-79.3663,45.55,65,8.05,90,CA,1634928737
451,Pedasí,7.5333,-80.0333,85.06,73,6.76,97,PA,1634928737
452,Nishihara,26.1842,127.7558,72.68,56,11.5,75,JP,1634928738
453,General Roca,-39.0333,-67.5833,68.4,22,6.64,98,AR,1634928738
454,Buraidah,26.326,43.975,82.85,29,11.61,0,SA,1634928739
455,Elliot,-31.3333,27.85,55.31,33,7.85,70,ZA,1634928739
456,Nouadhibou,20.931,-17.0347,73.38,68,14.97,25,MR,1634928686
457,Porto Nacional,-10.7081,-48.4172,86.0,42,4.9,99,BR,1634928740
458,Khandyga,62.6667,135.6,5.59,100,2.73,91,RU,1634928740
459,Sos'va,59.1766,61.8558,45.84,94,11.45,100,RU,1634928741
460,Kūhdasht,33.535,47.6061,60.42,30,4.27,0,IR,1634928741
461,Amazar,53.858,120.875,31.14,85,2.66,9,RU,1634928742
462,Kruisfontein,-34.0033,24.7314,58.89,88,2.55,94,ZA,1634928742
463,Karaton,-6.3424,106.1045,75.36,91,1.66,100,ID,1634928742
464,Buta,2.7858,24.73,71.46,90,1.79,96,CD,1634928743
465,Neiafu,-18.65,-173.9833,74.08,68,5.75,40,TO,1634928743
466,Maxixe,-23.8597,35.3472,73.22,73,15.01,20,MZ,1634928744
467,Ajdabiya,30.7554,20.2263,75.33,37,10.8,66,LY,1634928744
468,Kaniama,-7.5667,24.1833,67.73,94,3.06,78,CD,1634928745
469,Cintalapa,16.6951,-93.7272,77.13,82,3.4,100,MX,1634928745
470,Egvekinot,66.3167,-179.1667,10.69,86,8.34,100,RU,1634928745
471,San Lorenzo,-25.3333,-57.5333,86.94,37,8.01,20,PY,1634928746
472,Yar-Sale,66.8333,70.8333,28.24,96,7.05,100,RU,1634928746
473,Aquidauana,-20.4711,-55.7872,99.5,22,7.54,69,BR,1634928601
474,Verkhoyansk,67.5447,133.385,7.95,97,1.63,94,RU,1634928747
475,Yumen,40.2833,97.2,41.81,35,8.61,0,CN,1634928747
476,Yining,29.0361,114.5636,49.98,84,1.52,100,CN,1634928748
477,Nagato,34.3833,131.2,57.11,74,18.84,59,JP,1634928748
478,Eau Claire,44.8114,-91.4985,49.15,61,1.99,1,US,1634928748
479,Tumarbong,10.3766,119.4579,79.18,86,5.79,100,PH,1634928749
480,Marsh Harbour,26.5412,-77.0636,80.42,71,10.36,100,BS,1634928489
481,Bagdarin,54.4333,113.6,29.89,71,2.46,76,RU,1634928749
482,Javānrūd,34.7961,46.5172,53.08,37,1.79,0,IR,1634928750
483,Tottori-shi,35.5,134.2333,56.35,71,16.64,100,JP,1634928751
484,Saýat,38.7839,63.8803,42.67,36,8.95,27,TM,1634928751
485,Douentza,14.9951,-2.9517,93.85,24,4.76,100,ML,1634928751
486,Kyra,49.5776,111.9753,30.16,72,3.47,0,RU,1634928752
487,San Miguel de Cozumel,20.5083,-86.9458,86.11,89,1.01,36,MX,1634928752
488,Viranşehir,37.2353,39.7631,65.91,22,7.34,0,TR,1634928753
489,Maragogi,-9.0122,-35.2225,81.46,74,12.8,6,BR,1634928753
490,Andros Town,24.7,-77.7667,82.36,75,15.17,100,BS,1634928615
491,Poum,-20.2333,164.0167,73.35,78,8.05,12,NC,1634928754
492,Cameron Park,38.6688,-120.9872,59.92,96,1.01,100,US,1634928754
493,Xincheng,33.6333,115.1833,52.09,49,4.76,98,CN,1634928755
494,Richards Bay,-28.783,32.0377,71.47,76,6.08,6,ZA,1634928755
495,Brae,60.3964,-1.353,42.71,63,10.69,43,GB,1634928756
496,Payyanur,12.1,75.2,77.65,90,2.91,87,IN,1634928756
497,Layou,13.2,-61.2667,83.68,72,17.18,12,VC,1634928757
498,Timizart,36.8,4.2667,63.09,83,4.36,4,DZ,1634928757
499,Sainte-Anne-des-Monts,49.124,-66.4924,58.87,72,5.75,100,CA,1634928758
500,Kamalpur,24.2,91.8333,69.62,83,2.39,11,IN,1634928758
501,Vardø,70.3705,31.1107,30.18,93,19.57,90,NO,1634928758
502,Merauke,-8.4667,140.3333,77.67,85,11.61,99,ID,1634928759
503,Tautira,-17.7333,-149.15,80.62,86,19.19,99,PF,1634928759
504,Bonnyville,54.2668,-110.735,39.83,38,17.63,0,CA,1634928760
505,Kikwit,-5.041,18.8162,73.31,90,0.54,96,CD,1634928760
506,Abbeville,50.1,1.8333,55.36,70,6.78,100,FR,1634928754
507,Port Keats,-14.25,129.55,81.64,83,8.41,7,AU,1634928761
508,Kalinovskaya,43.5758,45.5192,47.48,49,1.43,0,RU,1634928761
509,Mackay,-21.15,149.2,75.69,94,5.75,40,AU,1634928762
510,Okhotsk,59.3833,143.3,20.19,90,14.63,100,RU,1634928762
511,Avera,33.194,-82.5271,80.47,32,12.28,6,US,1634928762
512,Chumikan,54.7183,135.315,37.58,74,21.12,100,RU,1634928763
513,Waddān,29.1614,16.139,79.83,27,15.97,82,LY,1634928763
514,Tazovsky,67.4667,78.7,24.1,95,7.85,99,RU,1634928764
515,Baharly,38.4362,57.4316,53.82,34,10.63,0,TM,1634928764
516,Awjilah,29.1081,21.2869,75.13,33,8.68,0,LY,1634928765
517,Erenhot,43.6475,111.9767,37.9,43,6.58,5,CN,1634928765
518,Xining,36.6167,101.7667,40.57,77,1.21,100,CN,1634928766
519,Watertown,42.3709,-71.1828,73.27,53,4.0,75,US,1634928766
520,Jingdezhen,29.2947,117.2079,51.76,78,4.41,100,CN,1634928766
521,Zanesville,39.9404,-82.0132,54.72,80,1.99,90,US,1634928547
522,Bryan,30.6744,-96.37,87.35,61,3.44,40,US,1634928767
523,Plainview,40.7765,-73.4673,71.74,58,1.01,75,US,1634928417
524,Yermakovskoye,53.2831,92.4003,43.12,69,13.91,100,RU,1634928768
525,Bua Yai,15.5855,102.4259,70.74,82,11.86,97,TH,1634928768
526,Fayaoué,-20.65,166.5333,75.47,77,4.85,17,NC,1634928769
527,Birjand,32.8663,59.2211,46.87,21,4.61,0,IR,1634928495
528,Chulumani,-16.4096,-67.5263,87.98,33,7.09,19,BO,1634928771
529,Pacasmayo,-7.4006,-79.5714,69.31,75,13.71,49,PE,1634928771
530,San Felipe,10.3399,-68.7425,90.99,42,7.31,26,VE,1634928772
531,Antofagasta,-23.65,-70.4,61.88,66,9.55,22,CL,1634928767
532,Encarnación,-27.3333,-55.9,89.64,33,5.75,0,PY,1634928773
533,Caucayá,-0.1934,-74.7819,83.64,71,1.95,100,CO,1634928659
534,Muli,2.9167,73.5667,82.53,71,10.87,57,MV,1634928774
535,Alugan,12.2188,125.4808,78.35,86,14.29,100,PH,1634928775
536,Berlevåg,70.8578,29.0864,33.75,64,18.41,75,NO,1634928775
537,Taltal,-25.4,-70.4833,61.09,69,7.56,25,CL,1634928492
538,Dullewala,31.8359,71.4362,75.4,35,10.22,9,PK,1634928778
539,Linqing,36.8456,115.7117,48.13,58,5.23,94,CN,1634928779
540,Saldanha,-33.0117,17.9442,60.85,77,24.25,100,ZA,1634928780
541,Xinqing,48.2333,129.5,29.66,91,4.63,2,CN,1634928780
542,Teahupoo,-17.8333,-149.2667,75.16,85,18.14,86,PF,1634928781
543,Sandviken,60.6167,16.7667,40.69,83,6.26,80,SE,1634928782
544,Tsuruga,35.6455,136.0558,57.96,71,16.82,100,JP,1634928782
545,Ellisras,-23.6649,27.7443,76.28,33,2.62,2,ZA,1634928783
546,Camaçari,-12.6975,-38.3242,78.57,68,7.63,84,BR,1634928660
547,Raja,8.4596,25.678,74.77,78,3.6,99,SS,1634928785
548,Ankara,39.9199,32.8543,49.12,36,0.85,3,TR,1634928738
549,Muriti,-1.9833,32.9167,75.07,67,10.45,14,TZ,1634928786
550,Mitsamiouli,-11.3847,43.2844,77.29,78,3.44,20,KM,1634928788
551,Yangjiang,21.85,111.9667,63.09,75,8.59,86,CN,1634928788
552,Fereydūnkenār,36.6864,52.5225,52.11,50,7.23,0,IR,1634928789
553,Lexington,37.9887,-84.4777,57.42,75,5.75,90,US,1634928790
554,Kovdor,67.5662,30.4758,24.91,84,9.69,86,RU,1634928790
555,St Helens,53.45,-2.7333,51.55,89,1.99,100,GB,1634928791
556,Saint Anthony,45.0205,-93.218,50.83,53,1.99,1,US,1634928708
557,Mwanza,-2.5167,32.9,74.93,66,6.69,22,TZ,1634928792
558,Kununurra,-15.7667,128.7333,80.58,89,3.44,5,AU,1634928631
559,Vawkavysk,53.1561,24.4513,45.88,61,22.64,95,BY,1634928793
560,Shaoxing,30.011,120.5715,58.95,75,2.57,100,CN,1634928793
561,Maceió,-9.6658,-35.7353,89.04,62,17.27,40,BR,1634928794
562,Sembakung,3.8167,117.25,73.33,98,1.97,100,ID,1634928794
563,Oktyabr'skoye,43.0645,44.7417,37.54,93,6.71,0,RU,1634928606
564,Ambilobe,-13.2,49.05,76.35,82,1.14,95,MG,1634928795
565,Boa Vista,2.8197,-60.6733,84.18,61,2.3,40,BR,1634928795
566,Roald,62.5833,6.1333,47.91,76,16.11,40,NO,1634928796
567,Saint-François,46.4154,3.9054,44.04,80,4.61,0,FR,1634928796
568,Aksarka,66.5606,67.7975,27.7,96,8.28,97,RU,1634928796
569,Batemans Bay,-35.7167,150.1833,57.09,93,3.67,11,AU,1634928797
570,Jiuquan,39.7432,98.5174,42.21,36,4.07,4,CN,1634928797
571,Grindavik,63.8424,-22.4338,45.07,93,25.32,90,IS,1634928798
572,Amahai,-3.3333,128.9167,77.52,85,3.13,98,ID,1634928798
573,Beidao,34.5686,105.8933,50.07,82,4.5,100,CN,1634928621
574,Kalanchak,46.2562,33.2907,56.79,87,8.81,100,UA,1634928799
